Name   	Size   	LB   	        UB   
Ta01	15x15	1231 (Ta1994)	1231 (Ta1994)(sol)
Ta02	15x15	1244 (Va1995)	1244 (NS1996)(sol)
Ta03	15x15	1218 (Br1999)	1218 (BV1995)(sol)
Ta04	15x15	1175 (Br1999)	1175 (We1995)(sol)
Ta05	15x15	1224 (Br1999)	1224 (Br1999)(sol)
Ta06	15x15	1238 (Br1999)	1238 (Br1999)(sol)
Ta07	15x15	1227 (Br1999)	1227 (Br1999)(sol)
Ta08	15x15	1217 (Br1999)	1217 (BV1995)(sol)
Ta09	15x15	1274 (Br1999)	1274 (BV1995)(sol)
Ta10	15x15	1241 (Va1995)	1241 (BV1995)(sol)
Ta11	20x15	1357 (CPO2015)	1357 (PS2005)(sol)
Ta12	20x15	1367 (CPO2015)	1367 (BV1995)(sol)
Ta13	20x15	1342 (CPO2015)	1342 (He2002)(sol)
Ta14	20x15	1345 (Va1995)	1345 (NS1996)(sol)
Ta15	20x15	1339 (CPO2015)	1339 (PS2005)(sol)
Ta16	20x15	1360 (CPO2015)	1360 (He2000)(sol)
Ta17	20x15	1462 (Sh2000)	1462 (NS2002)(sol)
Ta18	20x15	1377(CPO2015)	1396(BV1995)(sol)
Ta19	20x15	1332 (CPO2015)	1332 (PS2005)(sol)
Ta20	20x15	1348 (CPO2015)	1348 (PS2005)(sol)
Ta21	20x20	1642 (CPO2015)	1642 (Shylo2008)(sol)
Ta22	20x20	1561(CPO2015)	1600(NS2001)(sol)
Ta23	20x20	1518(CPO2015)	1557(NS2001)(sol)
Ta24	20x20	1644 (CPO2015)	1644 (Be2011,CPO2015)(sol)
Ta25	20x20	1558(CPO2015)	1595(NS2002)(sol)
Ta26	20x20	1591(CPO2015)	1645(Be2011)(sol)
Ta27	20x20	1652(CPO2015)	1680(NS2001)(sol)
Ta28	20x20	1603 (CPO2015)	1603 (ZL2005)(sol)
Ta29	20x20	1583(SAH2015)	1625(Aa1996)(sol)
Ta30	20x20	1528(SAH2015)	1584(NS2001)(sol)
Ta31	30x15	1764 (Ta1994)	1764 (AELS1999)(sol)
Ta32	30x15	1774(Ta1994)	1784(PSV2006)(sol)
Ta33	30x15	1788(CPO2015)	1791(ZL2005)(sol)
Ta34	30x15	1828 (Ta1994)	1828 (PMAEDC2019)(sol)
Ta35	30x15	2007 (Va1995)	2007 (Ta1994)(sol)
Ta36	30x15	1819 (Va1995)	1819 (AELS1999)(sol)
Ta37	30x15	1771 (Ta1994)	1771 (ZL2005)(sol)
Ta38	30x15	1673 (Ta1994)	1673 (He2000)(sol)
Ta39	30x15	1795 (Va1995)	1795 (AELS1999)(sol)
Ta40	30x15	1651(CPO2015)	1670(PMAEDC2019)(sol)
Ta41	30x20	1906(CPO2015)	2006(Shylo2008)(sol)
Ta42	30x20	1884(CPO2015)	1939(PMAEDC2019)(sol)
Ta43	30x20	1809(Va1995)	1846(TSPR2013)(sol)
Ta44	30x20	1948(CPO2015)	1979(PMAEDC2019)(sol)
Ta45	30x20	1997(Va1995)	2000(NS2001)(sol)
Ta46	30x20	1957(CPO2015)	2006(Sh2012)(sol)
Ta47	30x20	1807(CPO2015)	1889(TSPR2013)(sol)
Ta48	30x20	1912(Va1995)	1937(GTA2017)(sol)
Ta49	30x20	1931(CPO2015)	1963(TSPR2013)(sol)
Ta50	30x20	1833(CPO2015)	1923(TSPR2013)(sol)
Ta51	50x15	2760 (Ta1994)	2760 (Ta1994)(sol)
Ta52	50x15	2756 (Ta1994)	2756 (Ta1994)(sol)
Ta53	50x15	2717 (Ta1994)	2717 (Ta1994)(sol)
Ta54	50x15	2839 (Ta1994)	2839 (Ta1994)(sol)
Ta55	50x15	2679 (Ta1994)	2679 (NS1993)(sol)
Ta56	50x15	2781 (Ta1994)	2781 (Ta1994)(sol)
Ta57	50x15	2943 (Ta1994)	2943 (Ta1994)(sol)
Ta58	50x15	2885 (Ta1994)	2885 (Ta1994)(sol)
Ta59	50x15	2655 (Ta1994)	2655 (Ta1994)(sol)
Ta60	50x15	2723 (Ta1994)	2723 (Ta1994)(sol)
Ta61	50x20	2868 (Ta1994)	2868 (NS1993)(sol)
Ta62	50x20	2869 (Va1995)	2869 (Ca2003)(sol)
Ta63	50x20	2755 (Ta1994)	2755 (NS1993)(sol)
Ta64	50x20	2702 (BV1995)	2702 (NS1993)(sol)
Ta65	50x20	2725 (Ta1994)	2725 (NS1993)(sol)
Ta66	50x20	2845 (Ta1994)	2845 (NS1993)(sol)
Ta67	50x20	2825 (Va1995)	2825 (AELS1999)(sol)
Ta68	50x20	2784 (BV1995)	2784 (NS1993)(sol)
Ta69	50x20	3071 (Ta1994)	3071 (NS1993)(sol)
Ta70	50x20	2995 (Ta1994)	2995 (NS1993)(sol)
Ta71	100x20	5464 (Ta1994)	5464 (Ta1994)(sol)
Ta72	100x20	5181 (Ta1994)	5181 (Ta1994)(sol)
Ta73	100x20	5568 (Ta1994)	5568 (Ta1994)(sol)
Ta74	100x20	5339 (Ta1994)	5339 (Ta1994)(sol)
Ta75	100x20	5392 (Ta1994)	5392 (Ta1994)(sol)
Ta76	100x20	5342 (Ta1994)	5342 (Ta1994)(sol)
Ta77	100x20	5436 (Ta1994)	5436 (Ta1994)(sol)
Ta78	100x20	5394 (Ta1994)	5394 (Ta1994)(sol)
Ta79	100x20	5358 (Ta1994)	5358 (Ta1994)(sol)
Ta80	100x20	5183 (Ta1994)	5183 (NS1993)(sol)
