#{"t_start": 1670430589.468036, "env_id": "jss-v1"}
r,l,t,episode_makespan
-6.707071,678,3.014376,2991
13.494949,689,3.834433,2891
-15.79798,667,4.552771,3036
9.858586,668,8.130669,2909
-4.282828,678,8.850051,2979
14.30303,674,9.56846,2887
9.656566,661,13.207414,2910
33.69697,664,13.911482,2791
28.646465,677,14.635712,2816
45.818182,654,18.369914,2731
-30.141414,653,19.072052,3107
44.20202,654,19.770731,2739
65.818182,644,23.364165,2632
22.585859,650,24.065251,2846
34.909091,629,24.741107,2785
-27.515152,635,28.329654,3094
64.40404,624,28.996852,2639
-30.141414,645,29.693376,3107
42.787879,623,33.264465,2746
56.727273,633,33.939463,2677
58.545455,636,34.624565,2668
32.686869,629,38.187664,2796
43.79798,627,38.868503,2741
56.525253,629,39.546683,2678
34.909091,628,40.226125,2785
25.414141,630,43.824135,2832
64.606061,628,44.502936,2638
26.828283,624,45.175658,2825
67.030303,626,48.797958,2626
54.10101,625,49.471287,2690
80.363636,628,50.1481,2560
28.646465,618,53.729909,2816
10.060606,613,54.385742,2908
47.232323,613,55.040972,2724
101.171717,620,55.702782,2457
34.30303,619,59.271209,2788
40.161616,617,59.939911,2759
35.717172,617,60.606536,2781
54.909091,625,64.245823,2686
-26.909091,615,64.909375,3091
71.676768,613,65.565316,2603
-22.262626,630,69.095274,3068
59.757576,619,69.753742,2662
44.0,609,70.403904,2740
5.616162,633,71.079146,2930
56.323232,615,74.655982,2679
37.131313,623,75.323471,2774
65.616162,617,75.983913,2633
23.79798,619,79.667655,2840
43.191919,620,80.331698,2744
20.767677,629,81.003576,2855
37.939394,616,84.647217,2770
-82.262626,622,85.309883,3365
27.434343,622,85.973216,2822
57.333333,624,89.547168,2674
2.989899,629,90.223845,2943
46.828283,619,90.887947,2726
63.393939,617,91.547773,2644
-25.090909,621,95.166317,3082
16.525253,624,95.834213,2876
62.383838,622,96.501209,2649
35.717172,628,100.061612,2781
16.121212,621,100.727445,2878
65.414141,629,101.39992,2634
9.656566,623,105.042209,2910
42.585859,634,105.718357,2747
-5.494949,627,106.386777,2985
-5.292929,629,107.060511,2984
19.555556,633,110.663608,2861
44.808081,617,111.322754,2736
56.323232,620,111.985699,2679
14.707071,620,115.656876,2885
32.080808,626,116.326639,2799
38.949495,624,116.992447,2765
9.858586,626,120.680815,2909
39.757576,617,121.337989,2761
61.171717,614,121.992081,2655
68.040404,621,125.645127,2621
47.030303,625,126.314929,2725
-6.505051,616,126.973835,2990
18.949495,625,127.638806,2864
18.949495,617,131.23601,2864
73.090909,632,131.910841,2596
27.232323,626,132.582044,2823
45.212121,618,136.237657,2734
33.292929,628,136.908465,2793
44.808081,628,137.577512,2736
50.868687,627,141.206234,2706
53.292929,611,141.856529,2694
1.575758,620,142.517053,2950
34.30303,637,143.196651,2788
49.050505,611,146.694139,2715
-1.050505,622,147.357041,2963
23.393939,613,148.013552,2842
5.212121,613,151.787346,2932
104.20202,615,152.445739,2442
-43.676768,620,153.106447,3174
-11.555556,616,156.861136,3015
57.939394,622,157.524232,2671
-33.171717,621,158.185396,3122
46.424242,619,161.778057,2728
-24.888889,621,162.449235,3081
50.262626,624,163.114179,2709
33.494949,617,163.773463,2792
50.262626,615,167.393594,2709
28.848485,611,168.047528,2815
36.727273,615,168.707552,2776
-38.626263,617,172.381451,3149
48.444444,608,173.030204,2718
44.40404,610,173.680607,2738
-10.141414,607,177.299132,3008
11.676768,610,177.963251,2900
44.606061,618,178.6234,2737
41.373737,617,179.28177,2753
17.535354,612,182.947136,2871
1.777778,614,183.603492,2949
-9.535354,610,184.257514,3005
25.212121,608,187.923012,2833
24.0,612,188.576274,2839
-6.505051,617,189.234757,2990
-39.838384,616,192.813454,3155
41.373737,611,193.497711,2753
-28.121212,618,194.177323,3097
10.868687,616,194.853687,2904
35.717172,617,198.412622,2781
19.151515,611,199.067092,2863
14.909091,611,199.720775,2884
45.414141,620,203.332257,2733
34.10101,626,204.004101,2789
19.959596,615,204.661047,2859
54.707071,625,208.149081,2687
-23.878788,624,208.8204,3076
10.060606,607,209.469374,2908
42.787879,619,210.129812,2746
29.858586,612,213.757293,2810
-0.444444,616,214.416669,2960
46.828283,621,215.078382,2726
12.282828,617,218.659936,2897
-12.767677,615,219.316686,3021
28.848485,628,219.990194,2815
12.484848,620,223.539898,2896
39.757576,619,224.203369,2761
38.545455,613,224.859105,2767
20.161616,608,225.51035,2858
24.40404,622,229.183144,2837
19.555556,627,229.85464,2861
5.010101,614,230.510455,2933
14.707071,626,234.222244,2885
56.929293,615,234.879461,2676
-5.090909,620,235.540046,2983
5.818182,610,239.108679,2929
42.383838,613,239.767015,2748
43.79798,615,240.425921,2741
-24.888889,607,241.076581,3081
-4.888889,610,244.671575,2982
37.737374,611,245.325976,2771
42.181818,620,245.989796,2749
39.353535,620,249.590552,2763
33.494949,612,250.246848,2792
29.252525,611,250.900778,2813
39.757576,611,254.534776,2761
41.373737,607,255.184537,2753
40.767677,610,255.837049,2756
19.353535,607,256.486359,2862
9.454545,610,260.039401,2911
11.878788,611,260.691115,2899
27.030303,611,261.345173,2824
45.010101,619,265.052852,2735
13.090909,611,265.704675,2893
18.949495,619,266.365683,2864
7.232323,611,269.906356,2922
25.616162,619,270.571648,2831
36.323232,619,271.232398,2778
46.828283,612,271.885609,2726
9.656566,619,275.411887,2910
52.080808,620,276.074973,2700
41.575758,610,276.726438,2752
14.30303,609,280.262587,2887
19.151515,612,280.917897,2863
25.010101,613,281.570732,2834
35.919192,612,285.19635,2780
7.232323,613,285.856911,2922
6.626263,623,286.522447,2925
-10.141414,614,287.178617,3008
35.313131,609,290.75674,2783
66.020202,615,291.412969,2631
-5.494949,615,292.070375,2985
7.636364,615,295.738745,2920
30.868687,610,296.392692,2805
-22.262626,610,297.045387,3068
35.111111,609,300.555286,2784
50.666667,608,301.205838,2707
32.484848,613,301.860661,2797
-35.393939,618,302.51991,3133
-2.868687,609,306.217633,2972
52.686869,605,306.865398,2697
37.535354,607,307.515014,2772
38.141414,605,311.146103,2769
8.444444,611,311.802102,2916
24.0,615,312.464475,2839
16.121212,612,316.067918,2878
58.141414,613,316.738199,2670
7.838384,610,317.388439,2919
-19.030303,614,318.043709,3052
-1.656566,633,321.693652,2966
19.757576,610,322.347246,2860
17.535354,615,323.004473,2871
11.474747,613,326.619694,2901
48.848485,615,327.274007,2716
6.020202,612,327.928828,2928
28.040404,608,331.580206,2819
72.080808,616,332.260691,2601
35.111111,616,332.92173,2784
30.464646,608,333.57404,2807
-33.373737,622,337.084321,3123
12.484848,614,337.742909,2896
-39.838384,623,338.409299,3155
43.191919,616,341.970785,2744
-10.545455,615,342.633693,3010
4.20202,617,343.294331,2937
3.191919,625,346.991461,2942
64.808081,617,347.656847,2637
61.979798,611,348.312603,2651
24.0,623,348.980183,2839
21.575758,616,352.640085,2851
-2.060606,619,353.303123,2968
17.131313,618,353.965037,2873
-25.494949,614,357.571092,3084
47.434343,612,358.225989,2723
8.040404,614,358.8857,2918
40.161616,616,362.531535,2759
-27.919192,605,363.184108,3096
-1.252525,623,363.848022,2964
37.535354,607,364.497506,2772
-55.191919,620,368.154105,3231
25.414141,616,368.812916,2832
14.30303,619,369.474561,2887
-10.747475,611,373.119775,3011
61.575758,612,373.773111,2653
-26.10101,616,374.431298,3087
-6.10101,613,377.981921,2988
21.373737,609,378.639149,2852
18.747475,613,379.294989,2865
10.060606,616,379.952853,2908
4.808081,621,383.574653,2934
4.20202,616,384.233561,2937
-25.090909,621,384.89563,3082
-41.656566,624,388.445814,3164
15.313131,619,389.106062,2882
12.484848,627,389.776887,2896
23.191919,616,393.492309,2843
-24.484848,620,394.155386,3079
-6.10101,615,394.812424,2988
39.151515,614,395.466448,2764
-18.626263,616,399.177194,3050
-8.929293,617,399.837573,3002
-3.676768,622,400.500049,2976
40.565657,610,404.1216,2757
36.121212,612,404.774001,2779
41.171717,622,405.437216,2754
32.282828,616,409.114918,2798
-13.575758,610,409.767978,3025
29.454545,610,410.419901,2812
7.434343,611,411.071892,2921
22.585859,615,414.590317,2846
24.808081,613,415.246565,2835
34.707071,615,415.903247,2786
26.020202,612,419.512196,2829
6.626263,618,420.171046,2925
19.353535,606,420.820917,2862
-4.888889,613,424.329165,2982
18.343434,616,424.987879,2867
-39.030303,619,425.648779,3151
39.353535,615,426.304987,2763
2.585859,626,430.038354,2945
15.313131,609,430.690466,2882
38.949495,616,431.347471,2765
42.585859,610,435.024824,2747
